@relation InstanceResultListener

@attribute Key_Dataset {'R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R2,4,9,11,13,14-decimals0-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R12-decimals2'}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.meta.CostSensitiveClassifier,weka.classifiers.meta.Bagging}
@attribute Key_Scheme_options {'-cost-matrix \"[0.0 2.0; 1.0 0.0]\" -M -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 8 -K 0 -M 1.0 -V 0.001 -S 1','-P 100 -S 1 -num-slots 8 -I 10 -W weka.classifiers.meta.CostSensitiveClassifier -- -cost-matrix \"[0.0 2.0; 1.0 0.0]\" -M -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 8 -K 0 -M 1.0 -V 0.001 -S 1','-P 100 -S 1 -num-slots 8 -I 25 -W weka.classifiers.meta.CostSensitiveClassifier -- -cost-matrix \"[0.0 2.0; 1.0 0.0]\" -M -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 8 -K 0 -M 1.0 -V 0.001 -S 1','-P 100 -S 1 -num-slots 8 -I 40 -W weka.classifiers.meta.CostSensitiveClassifier -- -cost-matrix \"[0.0 2.0; 1.0 0.0]\" -M -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 8 -K 0 -M 1.0 -V 0.001 -S 1','-P 100 -S 1 -num-slots 8 -I 55 -W weka.classifiers.meta.CostSensitiveClassifier -- -cost-matrix \"[0.0 2.0; 1.0 0.0]\" -M -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 8 -K 0 -M 1.0 -V 0.001 -S 1'}
@attribute Key_Scheme_version_ID {-110658209263002404,-115879962237199703}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data
'R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R2,4,9,11,13,14-decimals0-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R12-decimals2',1,1,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 2.0; 1.0 0.0]\" -M -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 8 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221102.1434,6422,714,569,145,0,79.691877,20.308123,0,0.592822,0.203081,0.450645,40.618691,90.132183,713.964425,155730,-155016.035575,0.99995,218.109244,-217.109294,423.953698,0.593773,59.380227,0.941667,339,0.350282,124,0.649718,230,0.058333,21,0.732181,0.941667,0.823815,0.619292,0.795692,0.718883,0.796919,0.205535,0.794465,0.203081,0.823484,0.796919,0.79234,0.619292,0.795692,0.743745,0.792073,0.796919,0.48,0.038,0.010376,0.036674,10.376,36.674,12477908,959964,109472,79.691877,50,?,?
'R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R2,4,9,11,13,14-decimals0-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R12-decimals2',1,2,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 2.0; 1.0 0.0]\" -M -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 8 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221102.1434,6422,714,582,132,0,81.512605,18.487395,0,0.629371,0.184874,0.42997,36.977015,85.996912,713.964425,141768,-141054.035575,0.99995,198.554622,-197.554672,449.95466,0.630189,63.022,0.952778,343,0.324859,115,0.675141,239,0.047222,17,0.748908,0.952778,0.838631,0.654642,0.81396,0.737353,0.815126,0.187207,0.812793,0.184874,0.840475,0.815126,0.81135,0.654642,0.81396,0.764135,0.811119,0.815126,0.23,0.021,0.004398,0.020975,4.398,20.975,12494730,959964,109472,81.512605,50,?,?
'R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R2,4,9,11,13,14-decimals0-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R12-decimals2',1,3,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 2.0; 1.0 0.0]\" -M -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 8 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221102.1434,6422,714,557,157,0,78.011204,21.988796,0,0.55902,0.219888,0.468922,43.980237,93.787663,713.964425,168618,-167904.035575,0.99995,236.159664,-235.159714,399.95281,0.560158,56.018591,0.938889,338,0.381356,135,0.618644,219,0.061111,22,0.714588,0.938889,0.811525,0.589501,0.778766,0.701731,0.780112,0.222579,0.777421,0.219888,0.810835,0.780112,0.774146,0.589501,0.778766,0.72628,0.77383,0.780112,0.218,0.024,0.00356,0.024226,3.56,24.226,12463694,959964,109472,78.011204,50,?,?
'R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R2,4,9,11,13,14-decimals0-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R12-decimals2',1,4,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 2.0; 1.0 0.0]\" -M -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 8 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221102.1434,6422,714,575,139,0,80.532213,19.467787,0,0.609652,0.194678,0.441223,38.937917,88.247678,713.964425,149286,-148572.035575,0.99995,209.084034,-208.084083,435.954142,0.61058,61.061045,0.952778,343,0.344633,122,0.655367,232,0.047222,17,0.737634,0.952778,0.831515,0.638019,0.804073,0.726611,0.805322,0.197177,0.802823,0.194678,0.833865,0.805322,0.800761,0.638019,0.804073,0.753821,0.800501,0.805322,0.24,0.021,0.002807,0.020831,2.807,20.831,12539333,959964,109472,80.532213,50,?,?
'R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R2,4,9,11,13,14-decimals0-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R12-decimals2',1,5,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 2.0; 1.0 0.0]\" -M -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 8 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221102.1434,6422,714,572,142,0,80.112045,19.887955,0,0.601528,0.19888,0.445959,39.777575,89.193071,713.985636,152508,-151794.014364,0.99998,213.596639,-212.596659,429.974198,0.602205,60.221687,0.958217,344,0.357746,127,0.642254,228,0.041783,15,0.730361,0.958217,0.828916,0.633636,0.800235,0.720853,0.80112,0.20065,0.79935,0.19888,0.833734,0.80112,0.795915,0.633636,0.800235,0.750499,0.795729,0.80112,0.203,0.028,0.00282,0.028212,2.82,28.212,12404114,959964,109472,80.112045,50,?,?
'R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R2,4,9,11,13,14-decimals0-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R12-decimals2',1,6,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 2.0; 1.0 0.0]\" -M -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 8 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221102.1434,6422,714,574,140,0,80.392157,19.607843,0,0.607153,0.196078,0.442807,39.217328,88.562724,713.985636,150360,-149646.014364,0.99998,210.588235,-209.588255,433.974359,0.607807,60.781945,0.958217,344,0.352113,125,0.647887,230,0.041783,15,0.733475,0.958217,0.830918,0.638322,0.803052,0.723837,0.803922,0.197817,0.802183,0.196078,0.83555,0.803922,0.798972,0.638322,0.803052,0.753397,0.798792,0.803922,0.21,0.036,0.002512,0.036293,2.512,36.293,12655193,959964,109472,80.392157,50,?,?
'R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R2,4,9,11,13,14-decimals0-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R12-decimals2',1,7,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 2.0; 1.0 0.0]\" -M -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 8 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221102.1434,6423,713,573,140,0,80.364656,19.635344,0,0.606329,0.196353,0.443118,39.272702,88.625747,712.974754,150360,-149647.025246,0.999965,210.88359,-209.883626,432.963946,0.607243,60.726406,0.97493,350,0.370056,131,0.629944,223,0.02507,9,0.727651,0.97493,0.833333,0.645501,0.802437,0.722032,0.803647,0.198773,0.801227,0.196353,0.84361,0.803647,0.797466,0.645501,0.802437,0.755398,0.797213,0.803647,0.242,0.022,0.00195,0.021777,1.95,21.777,12478389,960113,109323,80.364656,50,?,?
'R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R2,4,9,11,13,14-decimals0-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R12-decimals2',1,8,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 2.0; 1.0 0.0]\" -M -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 8 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221102.1434,6423,713,579,134,0,81.206171,18.793829,0,0.623468,0.187938,0.433518,37.589586,86.705828,712.974754,143916,-143203.025246,0.999965,201.845722,-200.845758,444.964409,0.624074,62.40956,0.933148,335,0.310734,110,0.689266,244,0.066852,24,0.752809,0.933148,0.833333,0.64251,0.811207,0.736143,0.812062,0.189649,0.810351,0.187938,0.831076,0.812062,0.809121,0.64251,0.811207,0.75882,0.80895,0.812062,0.212,0.027,0.001891,0.026592,1.891,26.592,12579020,960113,109323,81.206171,50,?,?
'R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R2,4,9,11,13,14-decimals0-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R12-decimals2',1,9,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 2.0; 1.0 0.0]\" -M -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 8 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221102.1434,6423,713,570,143,0,79.943899,20.056101,0,0.59798,0.200561,0.44784,40.11426,89.570275,712.974754,153582,-152869.025246,0.999965,215.402525,-214.40256,426.963714,0.598827,59.884829,0.955432,343,0.358757,127,0.641243,227,0.044568,16,0.729787,0.955432,0.827503,0.629411,0.798337,0.719702,0.799439,0.202764,0.797236,0.200561,0.831255,0.799439,0.794221,0.629411,0.798337,0.748221,0.793986,0.799439,0.209,0.027,0.001907,0.026293,1.907,26.293,12407771,960113,109323,79.943899,50,?,?
'R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R2,4,9,11,13,14-decimals0-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R12-decimals2',1,10,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 2.0; 1.0 0.0]\" -M -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 8 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221102.1434,6423,713,583,130,0,81.767181,18.232819,0,0.634564,0.182328,0.426999,36.467509,85.401906,712.974754,139620,-138907.025246,0.999965,195.820477,-194.820512,452.964718,0.635294,63.531663,0.966574,347,0.333333,118,0.666667,236,0.033426,12,0.746237,0.966574,0.842233,0.664761,0.81662,0.738123,0.817672,0.184431,0.815569,0.182328,0.848205,0.817672,0.813347,0.664761,0.81662,0.768798,0.813143,0.817672,0.224,0.036,0.001948,0.032336,1.948,32.336,12562126,960113,109323,81.767181,50,?,?
