@relation InstanceResultListener

@attribute Key_Dataset {R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.rules.ZeroR,weka.classifiers.rules.OneR,weka.classifiers.trees.J48,weka.classifiers.trees.RandomForest,weka.classifiers.lazy.IBk,weka.classifiers.bayes.NaiveBayes,weka.classifiers.functions.SimpleLogistic,weka.classifiers.functions.SMO}
@attribute Key_Scheme_options {'','-B 6','-C 0.25 -M 2','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-I 0 -M 500 -H 50 -W 0.0','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"'}
@attribute Key_Scheme_version_ID {48055541465867954,-3459427003147861443,-217733168393644444,1116839470751428698,-3080186098777067172,5995231201785697655,7397710626304705059,-6585883636378691736}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 307\nSize of the tree: 613\n','Number of leaves: 289\nSize of the tree: 577\n','Number of leaves: 297\nSize of the tree: 593\n','Number of leaves: 261\nSize of the tree: 521\n','Number of leaves: 255\nSize of the tree: 509\n','Number of leaves: 332\nSize of the tree: 663\n','Number of leaves: 248\nSize of the tree: 495\n','Number of leaves: 281\nSize of the tree: 561\n','Number of leaves: 325\nSize of the tree: 649\n','Number of leaves: 262\nSize of the tree: 523\n','Number of leaves: 300\nSize of the tree: 599\n','Number of leaves: 304\nSize of the tree: 607\n','Number of leaves: 291\nSize of the tree: 581\n','Number of leaves: 295\nSize of the tree: 589\n','Number of leaves: 290\nSize of the tree: 579\n','Number of leaves: 277\nSize of the tree: 553\n','Number of leaves: 357\nSize of the tree: 713\n','Number of leaves: 259\nSize of the tree: 517\n','Number of leaves: 273\nSize of the tree: 545\n','Number of leaves: 306\nSize of the tree: 611\n','Number of leaves: 292\nSize of the tree: 583\n','Number of leaves: 250\nSize of the tree: 499\n','Number of leaves: 298\nSize of the tree: 595\n','Number of leaves: 320\nSize of the tree: 639\n','Number of leaves: 301\nSize of the tree: 601\n','Number of leaves: 271\nSize of the tree: 541\n','Number of leaves: 247\nSize of the tree: 493\n','Number of leaves: 351\nSize of the tree: 701\n','Number of leaves: 238\nSize of the tree: 475\n','Number of leaves: 278\nSize of the tree: 555\n','Number of leaves: 286\nSize of the tree: 571\n','Number of leaves: 280\nSize of the tree: 559\n','Number of leaves: 279\nSize of the tree: 557\n','Number of leaves: 285\nSize of the tree: 569\n','Number of leaves: 323\nSize of the tree: 645\n','Number of leaves: 293\nSize of the tree: 585\n','Number of leaves: 267\nSize of the tree: 533\n','Number of leaves: 276\nSize of the tree: 551\n','Number of leaves: 312\nSize of the tree: 623\n','Number of leaves: 252\nSize of the tree: 503\n','Number of leaves: 283\nSize of the tree: 565\n','Number of leaves: 257\nSize of the tree: 513\n','Number of leaves: 275\nSize of the tree: 549\n','Number of leaves: 284\nSize of the tree: 567\n','Number of leaves: 288\nSize of the tree: 575\n','Number of leaves: 328\nSize of the tree: 655\n','Number of leaves: 314\nSize of the tree: 627\n','Number of leaves: 268\nSize of the tree: 535\n','Number of leaves: 274\nSize of the tree: 547\n','Number of leaves: 269\nSize of the tree: 537\n','Number of leaves: 241\nSize of the tree: 481\n','Number of leaves: 272\nSize of the tree: 543\n','Number of leaves: 329\nSize of the tree: 657\n','Number of leaves: 287\nSize of the tree: 573\n','Number of leaves: 270\nSize of the tree: 539\n','Number of leaves: 296\nSize of the tree: 591\n','Number of leaves: 260\nSize of the tree: 519\n','Number of leaves: 319\nSize of the tree: 637\n','Number of leaves: 239\nSize of the tree: 477\n','Number of leaves: 294\nSize of the tree: 587\n','Number of leaves: 258\nSize of the tree: 515\n','Number of leaves: 308\nSize of the tree: 615\n','Number of leaves: 266\nSize of the tree: 531\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric

@data
R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1,1,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20221026.1402,6422,714,360,354,0,50.420168,49.579832,0,0,0.49997,0.499983,100,100,713.964425,713.964425,0,0.99995,0.99995,0,0,0,0,1,360,1,354,0,0,0,0,0.504202,1,0.670391,?,0.5,0.504202,0.504202,0.504202,0.495798,0.495798,?,0.504202,?,?,0.5,0.500035,?,0.504202,0,0.001,0.000226,0.000566,0.226,0.566,888,959229,108737,100,100,?,?,?,?,?,?,?
R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1,1,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20221026.1402,6422,714,360,354,0,50.420168,49.579832,0,0,0.49997,0.499983,100,100,713.964425,713.964425,0,0.99995,0.99995,0,0,0,0,1,360,1,354,0,0,0,0,0.504202,1,0.670391,?,0.5,0.504202,0.504202,0.504202,0.495798,0.495798,?,0.504202,?,?,0.5,0.500035,?,0.504202,0.001,0,0.00019,0.000497,0.19,0.497,888,959229,108737,100,100,?,?,?,?,?,?,?
R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1,1,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20221026.1402,6422,714,360,354,0,50.420168,49.579832,0,0,0.49997,0.499983,100,100,713.964425,713.964425,0,0.99995,0.99995,0,0,0,0,1,360,1,354,0,0,0,0,0.504202,1,0.670391,?,0.5,0.504202,0.504202,0.504202,0.495798,0.495798,?,0.504202,?,?,0.5,0.500035,?,0.504202,0,0.001,0.000169,0.000445,0.169,0.445,888,959229,108737,100,100,?,?,?,?,?,?,?
R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1,1,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20221026.1402,6422,714,360,354,0,50.420168,49.579832,0,0,0.49997,0.499983,100,100,713.964425,713.964425,0,0.99995,0.99995,0,0,0,0,1,360,1,354,0,0,0,0,0.504202,1,0.670391,?,0.5,0.504202,0.504202,0.504202,0.495798,0.495798,?,0.504202,?,?,0.5,0.500035,?,0.504202,0,0,0.000143,0.000429,0.143,0.429,888,959229,108737,100,100,?,?,?,?,?,?,?
R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1,1,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20221026.1402,6422,714,359,355,0,50.280112,49.719888,0,0,0.499979,0.499993,100,100,713.985636,713.985636,0,0.99998,0.99998,0,0,0,0,1,359,1,355,0,0,0,0,0.502801,1,0.669152,?,0.5,0.502801,0.502801,0.502801,0.497199,0.497199,?,0.502801,?,?,0.5,0.500016,?,0.502801,0.001,0,0.000472,0.000416,0.472,0.416,888,959229,108737,100,100,?,?,?,?,?,?,?
R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1,1,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20221026.1402,6422,714,359,355,0,50.280112,49.719888,0,0,0.499979,0.499993,100,100,713.985636,713.985636,0,0.99998,0.99998,0,0,0,0,1,359,1,355,0,0,0,0,0.502801,1,0.669152,?,0.5,0.502801,0.502801,0.502801,0.497199,0.497199,?,0.502801,?,?,0.5,0.500016,?,0.502801,0,0,0.000151,0.000415,0.151,0.415,888,959229,108737,100,100,?,?,?,?,?,?,?
R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1,1,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20221026.1402,6423,713,359,354,0,50.350631,49.649369,0,0,0.499974,0.499988,100,100,712.974754,712.974754,0,0.999965,0.999965,0,0,0,0,1,359,1,354,0,0,0,0,0.503506,1,0.669776,?,0.5,0.503506,0.503506,0.503506,0.496494,0.496494,?,0.503506,?,?,0.5,0.500025,?,0.503506,0,0.001,0.000129,0.000391,0.129,0.391,888,959378,108588,100,100,?,?,?,?,?,?,?
R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1,1,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20221026.1402,6423,713,359,354,0,50.350631,49.649369,0,0,0.499974,0.499988,100,100,712.974754,712.974754,0,0.999965,0.999965,0,0,0,0,1,359,1,354,0,0,0,0,0.503506,1,0.669776,?,0.5,0.503506,0.503506,0.503506,0.496494,0.496494,?,0.503506,?,?,0.5,0.500025,?,0.503506,0,0.001,0.000127,0.000383,0.127,0.383,888,959378,108588,100,100,?,?,?,?,?,?,?
R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1,1,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20221026.1402,6423,713,359,354,0,50.350631,49.649369,0,0,0.499974,0.499988,100,100,712.974754,712.974754,0,0.999965,0.999965,0,0,0,0,1,359,1,354,0,0,0,0,0.503506,1,0.669776,?,0.5,0.503506,0.503506,0.503506,0.496494,0.496494,?,0.503506,?,?,0.5,0.500025,?,0.503506,0,0,0.000109,0.000382,0.109,0.382,888,959378,108588,100,100,?,?,?,?,?,?,?
R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1,1,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20221026.1402,6423,713,359,354,0,50.350631,49.649369,0,0,0.499974,0.499988,100,100,712.974754,712.974754,0,0.999965,0.999965,0,0,0,0,1,359,1,354,0,0,0,0,0.503506,1,0.669776,?,0.5,0.503506,0.503506,0.503506,0.496494,0.496494,?,0.503506,?,?,0.5,0.500025,?,0.503506,0.001,0,0.000112,0.000367,0.112,0.367,888,959378,108588,100,100,?,?,?,?,?,?,?
R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1,2,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20221026.1402,6422,714,359,355,0,50.280112,49.719888,0,0,0.499979,0.499993,100,100,713.985636,713.985636,0,0.99998,0.99998,0,0,0,0,1,359,1,355,0,0,0,0,0.502801,1,0.669152,?,0.5,0.502801,0.502801,0.502801,0.497199,0.497199,?,0.502801,?,?,0.5,0.500016,?,0.502801,0,0,0.000121,0.000355,0.121,0.355,888,959229,108737,100,100,?,?,?,?,?,?,?
